Chapter,Page,PageRow,PageBodyRows,PageSectionHeaders,PageRenderedRows,StatID,Section,Measure,Source,EarlierYear,LatestYear,Earlier,Latest,Change,EndpointRule,AuditFlag
Chapter 4,1,19,31,3,34,exit_year1,STEM Persistence and Completion,Left college in year 1,FIG408,NA,NA,3.8%,3.1%,-0.7 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 4,1,20,31,3,34,exit_year6,STEM Persistence and Completion,Left college in year 6,NA,NA,NA,3%,2%,-1.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,21,31,3,34,study_total_us,US Study Abroad,US students studying abroad,NA,NA,NA,7.7,6.1,-1.6,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 4,1,22,31,3,34,study_region_europe,US Study Abroad,Europe,TAB404,NA,NA,60.3%,64.1%,+3.8 pp,Explicit Table 4.04 comparison: 2005 → 2024,CHECK: earlier cell has no year
Chapter 4,1,23,31,3,34,study_region_latin,US Study Abroad,Latin America and Caribbean,TAB404,NA,NA,14.4%,10.6%,-3.8 pp,Explicit Table 4.04 comparison: 2005 → 2024,CHECK: earlier cell has no year
Chapter 4,1,24,31,3,34,study_region_asia,US Study Abroad,Asia,TAB404,NA,NA,8%,10.2%,+2.2 pp,Explicit Table 4.04 comparison: 2005 → 2024,CHECK: earlier cell has no year
Chapter 4,1,25,31,3,34,study_region_oceania,US Study Abroad,Oceania,TAB404,NA,NA,6.7%,3.3%,-3.4 pp,Explicit Table 4.04 comparison: 2005 → 2024,CHECK: earlier cell has no year
Chapter 4,1,26,31,3,34,study_region_ssa,US Study Abroad,Sub-Saharan Africa,NA,NA,NA,3.5%,3%,-0.5 pp,Explicit Table 4.04 comparison: 2005 → 2024,CHECK: source map missing
Chapter 4,1,27,31,3,34,study_region_mena,US Study Abroad,Middle East and North Africa,NA,NA,NA,1%,1.6%,+0.6 pp,Explicit Table 4.04 comparison: 2005 → 2024,CHECK: source map missing
Chapter 4,1,28,31,3,34,study_field_stem,US Study Abroad,STEM,TAB403,NA,NA,16.3%,27.2%,+10.9 pp,Explicit Table 4.03 comparison: 2005 → 2024,CHECK: earlier cell has no year
Chapter 4,1,29,31,3,34,study_field_social,US Study Abroad,Social sciences†,TAB403,NA,NA,22.6%,17.8%,-4.8 pp,Explicit Table 4.03 comparison: 2005 → 2024,CHECK: earlier cell has no year
Chapter 4,1,30,31,3,34,study_field_humanities,US Study Abroad,Humanities†,TAB403,NA,NA,13.3%,3%,-10.3 pp,Explicit Table 4.03 comparison: 2005 → 2024,CHECK: earlier cell has no year
Chapter 4,1,31,31,3,34,study_field_business,US Study Abroad,Business and management,TAB403,NA,NA,17.5%,21.7%,+4.2 pp,Explicit Table 4.03 comparison: 2005 → 2024,CHECK: earlier cell has no year
Chapter 5,1,1,29,5,34,top_cited_us,Research leadership,Global top-cited emerging-technology publications,FIG502,NA,NA,14.2%²⁰¹⁵,8.42%,-5.8 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,2,29,5,34,top_papers_us,Research leadership,Global top papers with country-affiliated authors,FIG503,NA,NA,22.3%²⁰¹⁵,16.2%,-6.1 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,3,29,5,34,highly_cited_us,Research leadership,Global top 1% most-cited researchers,FIG504,NA,NA,52.9%,37.4%,-15.5 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,4,29,5,34,neurips_oral_us,Research leadership,NeurIPS oral presentations,FIG501,NA,NA,47.1%*,34%,-13.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,5,29,5,34,top_cited_china,Research leadership,Global top-cited emerging-technology publications,FIG502,NA,NA,11.5%²⁰¹⁵,20.8%,+9.4 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,6,29,5,34,top_papers_china,Research leadership,Global top papers with country-affiliated authors,FIG503,NA,NA,17.1%²⁰¹⁵,32.8%,+15.7 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,7,29,5,34,highly_cited_china,Research leadership,Global top 1% most-cited researchers,FIG504,NA,NA,4.85%,22%,+17.1 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,8,29,5,34,neurips_oral_china,Research leadership,NeurIPS oral presentations,FIG501,NA,NA,9.8%*,33.6%,+23.8 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,9,29,5,34,rd_total_us,R&D scale and intensity,United States: total R&D spending,TAB503,NA,NA,$521B*,$848B²⁰²⁴,+62.7%,Explicit R&D comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 5,1,10,29,5,34,rd_intensity_us,R&D scale and intensity,United States: R&D intensity,FIG506,NA,NA,2.71%*,3.44%²⁰²⁴,+0.7 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,11,29,5,34,rd_total_china,R&D scale and intensity,China: total R&D spending,TAB503,NA,NA,$362B*,$859B²⁰²⁴,+138%,Explicit R&D comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 5,1,12,29,5,34,rd_intensity_china,R&D scale and intensity,China: R&D intensity,FIG506,NA,NA,1.98%*,2.69%²⁰²⁴,+0.7 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 5,1,13,29,5,34,rd_basic_us,R&D composition,United States: basic research,TAB503,NA,NA,$90.5B*,$122B²⁰²⁴,+35%,Explicit R&D comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 5,1,14,29,5,34,rd_experimental_us,R&D composition,United States: experimental development,TAB503,NA,NA,$329B*,$570B²⁰²⁴,+73%,Explicit R&D comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 5,1,15,29,5,34,rd_business_us,R&D composition,United States: business-performed R&D,TAB504,NA,NA,$372B*,$657B²⁰²⁴,+76.3%,Explicit R&D comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 5,1,16,29,5,34,rd_basic_china,R&D composition,China: basic research,TAB503,NA,NA,$17.1B*,$59.2B²⁰²⁴,+247%,Explicit R&D comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 5,1,17,29,5,34,rd_experimental_china,R&D composition,China: experimental development,TAB503,NA,NA,$306B*,$698B²⁰²⁴,+128%,Explicit R&D comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 5,1,18,29,5,34,rd_business_china,R&D composition,China: business-performed R&D,TAB504,NA,NA,$280B*,$667B²⁰²⁴,+139%,Explicit R&D comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 5,1,19,29,5,34,patent_biotech_united_states,Patents in critical technologies,United States: biotechnology patents,TAB505a,NA,NA,"6,800*","7,960²⁰²⁴",+17%,Explicit biotechnology-patent comparison: 2014 → 2024,CHECK: earlier cell has no year
Chapter 5,1,20,29,5,34,patent_semiconductor_united_states,Patents in critical technologies,United States: semiconductor patents,TAB505b,NA,NA,"9,640*","7,040²⁰²⁴",-27%,Explicit semiconductor-patent comparison: 2014 → 2024,CHECK: earlier cell has no year
Chapter 5,1,21,29,5,34,patent_computer_united_states,Patents in critical technologies,United States: computer-technology patents,TAB505c,NA,NA,"40,500*","44,600²⁰²⁴",+10.2%,Explicit computer-technology-patent comparison: 2014 → 2024,CHECK: earlier cell has no year
Chapter 5,1,22,29,5,34,patent_biotech_china,Patents in critical technologies,China: biotechnology patents,TAB505a,NA,NA,"5,390*","16,000²⁰²⁴",+197%,Explicit biotechnology-patent comparison: 2014 → 2024,CHECK: earlier cell has no year
Chapter 5,1,23,29,5,34,patent_semiconductor_china,Patents in critical technologies,China: semiconductor patents,TAB505b,NA,NA,"2,950*","17,200²⁰²⁴",+482%,Explicit semiconductor-patent comparison: 2014 → 2024,CHECK: earlier cell has no year
Chapter 5,1,24,29,5,34,patent_computer_china,Patents in critical technologies,China: computer-technology patents,TAB505c,NA,NA,"7,780*","176,000²⁰²⁴","+2,160%",Explicit computer-technology-patent comparison: 2014 → 2024,CHECK: earlier cell has no year
Chapter 5,1,25,29,5,34,company_hewlett_packard,Corporate leaders in US patents,Hewlett-Packard,NA,NA,NA,"1,450²⁰¹⁵*",322,"-1,130",Explicit corporate US-patent comparison: 2005 → 2025,CHECK: source map missing
Chapter 5,1,26,29,5,34,company_ibm,Corporate leaders in US patents,IBM,TAB506,NA,NA,"7,440²⁰¹⁵*","2,470","-4,970",Explicit corporate US-patent comparison: 2005 → 2025,CHECK: earlier cell has no year
Chapter 5,1,27,29,5,34,company_canon,Corporate leaders in US patents,Canon,NA,NA,NA,"4,240²⁰¹⁵*","2,990","-1,250",Explicit corporate US-patent comparison: 2005 → 2025,CHECK: source map missing
Chapter 5,1,28,29,5,34,company_samsung_electronics,Corporate leaders in US patents,Samsung Electronics,TAB506,NA,NA,"5,060²⁰¹⁵*","7,530","+2,470",Explicit corporate US-patent comparison: 2005 → 2025,CHECK: earlier cell has no year
Chapter 5,1,29,29,5,34,company_taiwan_semiconductor_tsmc,Corporate leaders in US patents,Taiwan Semiconductor,TAB506,NA,NA,"1,760²⁰¹⁵*","4,230","+2,480",Explicit corporate US-patent comparison: 2005 → 2025,CHECK: earlier cell has no year
Chapter 6,1,1,22,5,27,intent_overall,Stay intentions,Overall,FIG601,NA,NA,73%*,75.8%²⁰²⁴,+2.8 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,2,22,5,27,intent_region_africa,Stay intentions,International students from Africa,TAB601,NA,NA,72.5%*,86.5%²⁰²⁴,+14.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,3,22,5,27,intent_region_asia,Stay intentions,International students from Asia,TAB601,NA,NA,79%*,80%²⁰²⁴,+1.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,4,22,5,27,intent_region_americas,Stay intentions,International students from the Americas,TAB601,NA,NA,60.1%*,69.3%²⁰²⁴,+9.2 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,5,22,5,27,intent_region_europe,Stay intentions,International students from Europe,TAB601,NA,NA,67.4%*,66.4%²⁰²⁴,-1.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,6,22,5,27,intent_region_middle_east,Stay intentions,International students from the Middle East,NA,NA,NA,58%*,55.3%²⁰²⁴,-2.7 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 6,1,7,22,5,27,intent_field_computer_and_information_sciences,Stay intentions,International students studying computing,TAB602,NA,NA,87.4%,89.8%²⁰²⁴,+2.4 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,8,22,5,27,intent_field_engineering,Stay intentions,International students studying engineering,TAB602,NA,NA,85.2%,89.5%²⁰²⁴,+4.3 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,9,22,5,27,intent_field_physical_sciences,Stay intentions,International students studying the physical sciences,TAB602,NA,NA,81.9%,87.2%²⁰²⁴,+5.4 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,10,22,5,27,intent_field_mathematics_and_statistics,Stay intentions,International students studying mathematics,NA,NA,NA,74.8%,81.7%²⁰²⁴,+6.9 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 6,1,11,22,5,27,stay_5yr,Realized retention,Five-year stay rate,FIG602,NA,NA,70.8%*,73.4%²⁰²³,+2.6 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,12,22,5,27,stay_10yr,Realized retention,Ten-year stay rate,FIG602,NA,NA,64.7%*,67.8%²⁰²³,+3.1 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,13,22,5,27,career_us_academe,Career paths after the PhD,US citizens: academe,TAB603a,NA,NA,39.9%*,42.5%²⁰²⁴,+2.6 pp,Explicit Table 6.03 comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 6,1,14,22,5,27,career_us_industry_or_business,Career paths after the PhD,US citizens: industry or business,TAB603a,NA,NA,33.8%*,32.2%²⁰²⁴,-1.6 pp,Explicit Table 6.03 comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 6,1,15,22,5,27,career_temp_academe,Career paths after the PhD,Temporary visa holders: academe,TAB603b,NA,NA,24.8%*,32.2%²⁰²⁴,+7.4 pp,Explicit Table 6.03 comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 6,1,16,22,5,27,career_temp_industry_or_business,Career paths after the PhD,Temporary visa holders: industry or business,TAB603b,NA,NA,69.4%*,60.9%²⁰²⁴,-8.5 pp,Explicit Table 6.03 comparison: 1994 → 2024,CHECK: earlier cell has no year
Chapter 6,1,17,22,5,27,opt_received,Work-visa bridge,STEM OPT applications received,FIG603,NA,NA,"5,940*","22,300",3.75×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,18,22,5,27,opt_approved,Work-visa bridge,STEM OPT applications approved,FIG603,NA,NA,"5,990*","18,700",3.13×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,19,22,5,27,h1b_tech_approvals,Work-visa bridge,H-1B approvals: tech occupations,FIG604b,NA,NA,"106,000*","85,100",-19.8%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 6,1,20,22,5,27,wait_row_eb2,Immigration pathways and bottlenecks,Rest of world: EB-2 green-card wait,NA,NA,NA,2y 10m*,4y 6m,+1y 8m,Explicit Table 6.05 green-card-wait comparison: 2005 → 2025,CHECK: source map missing
Chapter 6,1,21,22,5,27,wait_india_eb2,Immigration pathways and bottlenecks,India: EB-2 green-card wait,TAB604c,NA,NA,10y 6m*,12y 5m,+2y,Explicit Table 6.05 green-card-wait comparison: 2005 → 2025,CHECK: earlier cell has no year
Chapter 6,1,22,22,5,27,wait_china_eb2,Immigration pathways and bottlenecks,China: EB-2 green-card wait,TAB604b,NA,NA,3y 10m*,4y 8m,+9 mo,Explicit Table 6.05 green-card-wait comparison: 2005 → 2025,CHECK: earlier cell has no year
