Category,US_citizen,TPV
Total,215218000,15675000
Employed in the U.S. Labor Force in a STEM Occupation Directed Related to Science and Engineering,9245000,1073000
Employed in the U.S. Labor Force in a STEM Occupation Indirectly Related to Science and Engineering,11928000,533000
Employed in the U.S. Labor Force in a STEM Occupation with a STEM middle skill,11674000,1289000
Employed in the U.S. Labor Force in a non-STEM Occupation,108237000,8545000
Unemployed in the U.S. Labor Force,11475000,922000
Not in the U.S. labor force,62659000,3313000
