Year,"Biological, agricultural, and other life scientists",Computer and mathematical scientists,Physical and related scientists,Social and related scientists,Engineers,S&E-related occupations,Non-S&E occupations
2017,0.17235188509874327,0.16588124410933083,0.11290322580645161,0.048,0.11179740580605312,0.05673967367337939,0.03216911764705882
2019,0.15584415584415584,0.15482954545454544,0.12742382271468145,0.06079664570230608,0.09513274336283185,0.05667904801210621,0.03296742717750036
2021,0.1595605545383207,0.11634349030470914,0.18840579710144928,0.06930693069306931,0.09170305676855896,0.05717868338557994,0.03551072575909358
2023,0.13717421124828533,0.1371732593106639,0.09390862944162437,0.0682261208576998,0.08932769158439116,0.05409168808911739,0.03270419241690329
