"Employed college graduates, by place of birth, level of highest degree, and major occupation: 2003–23",,,,,,,,
(Number),,,,,,,,
Non-S&E occupations,681000,991000,1044000,1113000,1306000,1380000,1557000,1601000
,,,,,,,,
Doctorate,351000,499000,498000,536000,599000,753000,770000,838000
S&E occupations,213000,279000,300000,318000,339000,420000,427000,458000
"Biological, agricultural, and other life scientists",65000,90000,98000,97000,105000,127000,139000,125000
Computer and mathematical scientists,45000,55000,59000,68000,88000,114000,110000,119000
Physical and related scientists,31000,46000,44000,55000,40000,51000,53000,45000
Social and related scientists,25000,32000,37000,39000,41000,48000,46000,61000
Engineers,47000,57000,62000,58000,65000,79000,80000,107000
S&E-related occupations,34000,86000,79000,87000,103000,155000,127000,178000
Non-S&E occupations,104000,133000,119000,131000,157000,178000,217000,202000
,,,,,,,,
Professional,340000,371000,435000,472000,504000,471000,525000,584000
S&E occupations,12000,17000,27000,18000,19000,21000,21000,17000
"Biological, agricultural, and other life scientists",7000,10000,10000,9000,9000,8000,9000,11000
Computer and mathematical scientists,2000,S,4000,2000,S,5000,S,S
Physical and related scientists,D,D,D,D,D,D,D,D
Social and related scientists,2000,3000,11000,6000,7000,5000,8000,4000
Engineers,D,D,D,D,D,D,D,D
S&E-related occupations,230000,271000,283000,277000,316000,298000,325000,366000
Non-S&E occupations,99000,83000,124000,177000,169000,152000,179000,200000
,,,,,,,,
,,,,,,,,
U.S.-born college graduates,,,,,,,,
All Degree Levels,28228000,34633000,37136000,38570000,40097000,41922000,42453000,46057000
S&E occupations,3556000,3907000,4238000,4484000,4771000,5275000,5633000,6265000
"Biological, agricultural, and other life scientists",316000,423000,454000,442000,412000,469000,548000,580000
Computer and mathematical scientists,1440000,1665000,1849000,2078000,2284000,2512000,2707000,3126000
Physical and related scientists,233000,245000,239000,230000,258000,316000,309000,344000
Social and related scientists,416000,438000,499000,453000,544000,551000,583000,498000
Engineers,1150000,1136000,1196000,1281000,1274000,1427000,1487000,1717000
S&E-related occupations,4313000,5665000,6041000,6511000,6642000,7092000,7592000,8925000
Non-S&E occupations,20358000,25061000,26857000,27574000,28684000,29556000,29228000,30867000
,,,,,,,,
Bachelor's,17947000,22060000,23995000,24437000,25667000,26701000,26652000,28994000
S&E occupations,2121000,2372000,2667000,2773000,3018000,3298000,3551000,4082000
"Biological, agricultural, and other life scientists",130000,198000,229000,204000,192000,230000,249000,267000
Computer and mathematical scientists,1017000,1201000,1388000,1502000,1680000,1812000,1962000,2328000
Physical and related scientists,102000,110000,108000,104000,119000,168000,158000,167000
Social and related scientists,92000,78000,109000,77000,150000,128000,148000,140000
Engineers,781000,785000,833000,886000,876000,959000,1035000,1180000
S&E-related occupations,2358000,3113000,3301000,3566000,3570000,3899000,4050000,4732000
Non-S&E occupations,13469000,16575000,18028000,18098000,19079000,19504000,19051000,20181000
,,,,,,,,
Master's,7440000,9292000,9764000,10597000,10701000,11452000,11708000,12453000
S&E occupations,1006000,1082000,1110000,1233000,1258000,1413000,1485000,1592000
"Biological, agricultural, and other life scientists",78000,109000,116000,123000,102000,107000,136000,155000
Computer and mathematical scientists,364000,406000,402000,515000,533000,616000,653000,688000
Physical and related scientists,66000,67000,62000,61000,75000,77000,77000,94000
Social and related scientists,181000,190000,215000,191000,203000,209000,230000,196000
Engineers,317000,310000,315000,343000,345000,405000,390000,459000
S&E-related occupations,1052000,1492000,1605000,1728000,1820000,1880000,2081000,2395000
Non-S&E occupations,5382000,6718000,7049000,7635000,7623000,8160000,8142000,8466000
,,,,,,,,
Doctorate,920000,1001000,1053000,1105000,1197000,1337000,1371000,1651000
S&E occupations,392000,412000,424000,433000,447000,518000,535000,538000
"Biological, agricultural, and other life scientists",99000,109000,105000,110000,112000,127000,152000,146000
Computer and mathematical scientists,50000,53000,53000,49000,62000,75000,75000,92000
Physical and related scientists,63000,68000,68000,64000,61000,70000,72000,82000
Social and related scientists,129000,142000,152000,162000,160000,186000,176000,141000
Engineers,51000,40000,47000,49000,51000,60000,60000,77000
S&E-related occupations,89000,138000,157000,141000,164000,231000,247000,398000
Non-S&E occupations,439000,451000,472000,531000,586000,588000,588000,715000
,,,,,,,,
Professional,1920000,2280000,2323000,2431000,2532000,2432000,2722000,2959000
S&E occupations,37000,41000,37000,45000,48000,46000,61000,54000
"Biological, agricultural, and other life scientists",10000,7000,4000,6000,6000,6000,11000,13000
Computer and mathematical scientists,10000,5000,7000,12000,8000,9000,17000,18000
Physical and related scientists,S,D,D,*,2000,2000,1000,S
Social and related scientists,14000,28000,23000,23000,30000,28000,30000,21000
Engineers,2000,D,2000,4000,S,3000,S,D
S&E-related occupations,815000,922000,978000,1076000,1088000,1082000,1214000,1400000
Non-S&E occupations,1068000,1317000,1309000,1310000,1396000,1304000,1447000,1505000
