Company,Year Founded,No of Founders,Pitchbook Valuation,Founder Makeup Binary,Year Founded.1,No of Founders.1,Pitchbook Valuation.1,Founder Makeup Binary.1
Instabase,2015.0,1.0,1300000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
MosaicML,2021.0,2.0,1300000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
BigPanda,2012.0,2.0,1200000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Viz.ai,2016.0,2.0,1200000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Vectra AI,2012.0,1.0,1120000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Fundbox,2013.0,3.0,1100000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
People.ai,2016.0,1.0,1100000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Sana,2016.0,1.0,1100000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
PathAI,2016.0,2.0,1015000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Adept,2022.0,3.0,1000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Aurora Innovation,2017.0,3.0,1000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Character.AI,2021.0,2.0,1000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Drift,2015.0,2.0,1000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Speak,2016.0,2.0,1000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
World Labs,2024.0,4.0,1000000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
K Health,2016.0,4.0,938360000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
ExtraHop,2007.0,2.0,900000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Observe.AI,2017.0,3.0,825000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Gatik,2017.0,3.0,810000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Labelbox,2017.0,3.0,810000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Cresta,2017.0,3.0,785000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Pinecone,2019.0,1.0,750000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
