Field,Bachelors_FirstYear,Bachelors_LastYear,Bachelors_PctChangeInShare,Masters_FirstYear,Masters_LastYear,Masters_PctChangeInShare,Doctorate_FirstYear,Doctorate_LastYear,Doctorate_PctChangeInShare
Architecture and Related Services,5.06,7.24,0.4308300395,18.08,28.4,0.5707964602,39.72,51.94,0.307653575
Biological and Biomedical Sciences,2.25,3.31,0.4711111111,16.23,22.64,0.3949476278,25.03,23.23,-0.07191370356
Computer and Information Sciences,9.28,8.51,-0.08297413793,37.5,64.89,0.7304,42.06,54.85,0.3040893961
Engineering,7.58,7.09,-0.06464379947,33.9,49.35,0.4557522124,48.98,54.71,0.1169865251
Mathematics and Statistics,4.31,16.83,2.90487239,27.58,54.56,0.9782451051,44.78,52.81,0.1793211255
Natural Resources and Conservation,1.18,1.98,0.6779661017,11.6,16.92,0.4586206897,29.64,27.19,-0.0826585695
Physical Sciences,3.73,5.94,0.5924932976,30.6,32.66,0.06732026144,32.84,38.06,0.158952497
